dc_id,sku_id,category,physical_stock,in_transit_stock,effective_stock,avg_daily_sales,sales_trend_7d,projected_daily_sales,hourly_sales,safety_stock,stock_to_sales_ratio,days_of_cover,day_of_week,is_weekend,hour_of_day,lead_time_hours,projected_48h_sales,expected_stock_at_48h,hours_until_shortage,will_shortage
DC-04,SKU-013,reefer,280,6,286,95.57,1.104,105.49,4.3954,52,2.711,2.71,5,1,17,36,210.98,75.02,48.0,0
DC-03,SKU-005,reefer,190,33,223,96.3,1.179,113.55,4.7311,56,1.964,1.96,6,1,3,24,227.09,-4.09,35.3,1
DC-03,SKU-013,reefer,173,12,185,37.2,0.897,33.38,1.3909,16,5.542,5.54,0,0,14,6,66.76,118.24,48.0,0
DC-02,SKU-007,antiviral,269,0,269,102.81,0.798,82.02,3.4176,41,3.28,3.28,6,1,1,6,164.04,104.96,48.0,0
DC-05,SKU-002,reefer,221,0,221,97.11,0.786,76.37,3.182,38,2.894,2.89,5,1,23,6,152.74,68.26,48.0,0
DC-04,SKU-009,antiviral,205,0,205,66.43,1.289,85.62,3.5674,42,2.394,2.39,4,0,1,18,171.24,33.76,45.69,1
DC-03,SKU-013,reefer,102,12,114,32.31,0.672,21.72,0.9048,10,5.25,5.25,4,0,20,18,43.43,70.57,48.0,0
DC-05,SKU-002,reefer,213,190,403,105.07,1.17,122.93,5.1222,61,3.278,3.28,3,0,12,24,245.86,157.14,48.0,1
DC-05,SKU-015,cardiac,111,9,120,30.58,0.898,27.46,1.144,13,4.37,4.37,2,0,15,18,54.91,65.09,48.0,0
DC-05,SKU-005,reefer,272,18,290,65.84,1.364,89.83,3.7431,44,3.228,3.23,1,0,4,24,179.67,110.33,48.0,0
DC-05,SKU-008,antiviral,25,3,28,5.3,1.26,6.68,0.2781,3,4.195,4.19,6,1,19,24,13.35,14.65,48.0,0
DC-03,SKU-005,reefer,357,0,357,77.57,1.393,108.08,4.5032,54,3.303,3.3,4,0,0,36,216.15,140.85,48.0,0
DC-04,SKU-014,antibiotic,276,9,285,87.8,0.654,57.38,2.391,28,4.967,4.97,0,0,16,18,114.77,170.23,48.0,0
DC-05,SKU-009,antiviral,54,0,54,46.21,0.689,31.83,1.3263,15,1.696,1.7,0,0,19,36,63.66,-9.66,29.41,1
DC-05,SKU-008,antiviral,227,17,244,83.07,1.08,89.75,3.7396,44,2.719,2.72,2,0,9,18,179.5,64.5,48.0,0
DC-02,SKU-010,reefer,292,51,343,60.94,0.848,51.66,2.1523,25,6.64,6.64,2,0,2,18,103.31,239.69,48.0,0
DC-02,SKU-009,antiviral,127,89,216,55.79,1.143,63.78,2.6575,31,3.387,3.39,3,0,10,12,127.56,88.44,48.0,0
DC-01,SKU-012,antiviral,337,171,508,109.4,1.184,129.56,5.3983,64,3.921,3.92,3,0,23,12,259.12,248.88,48.0,0
DC-01,SKU-006,antibiotic,104,59,163,110.02,1.118,122.95,5.1231,61,1.326,1.33,2,0,12,12,245.91,-82.91,19.91,1
DC-05,SKU-014,antibiotic,93,70,163,23.35,1.358,31.72,1.3217,15,5.138,5.14,3,0,7,12,63.44,99.56,48.0,0
DC-05,SKU-015,cardiac,83,0,83,83.04,0.677,56.19,2.3414,28,1.477,1.48,1,0,11,12,112.39,-29.39,23.49,1
DC-01,SKU-004,reefer,172,0,172,37.01,0.81,29.98,1.2493,14,5.737,5.74,5,1,6,24,59.97,112.03,48.0,0
DC-05,SKU-006,antibiotic,121,13,134,43.55,1.352,58.89,2.4539,29,2.275,2.28,0,0,20,24,117.79,16.21,42.79,1
DC-01,SKU-005,reefer,145,15,160,104.01,1.194,124.17,5.1736,62,1.289,1.29,5,1,2,24,248.33,-88.33,18.94,1
DC-05,SKU-006,antibiotic,204,9,213,63.99,1.429,91.46,3.8107,45,2.329,2.33,5,1,14,18,182.91,30.09,44.09,1
DC-04,SKU-010,reefer,230,0,230,63.25,1.333,84.28,3.5119,42,2.729,2.73,3,0,7,36,168.57,61.43,48.0,0
DC-01,SKU-011,cardiac,429,0,429,90.99,0.641,58.34,2.4307,29,7.354,7.35,2,0,10,12,116.67,312.33,48.0,0
DC-03,SKU-012,antiviral,133,4,137,41.41,0.742,30.74,1.2809,15,4.456,4.46,0,0,18,6,61.48,75.52,48.0,0
DC-02,SKU-012,antiviral,69,130,199,68.55,0.676,46.36,1.9315,23,4.293,4.29,0,0,2,24,92.71,106.29,48.0,0
DC-01,SKU-012,antiviral,173,109,282,41.29,0.796,32.88,1.3699,16,8.577,8.58,1,0,18,12,65.75,216.25,48.0,0
DC-03,SKU-005,reefer,0,48,48,90.53,1.2,108.61,4.5255,54,0.442,0.44,1,0,16,36,217.22,-169.22,0.0,1
DC-04,SKU-001,cardiac,50,20,70,15.95,1.331,21.23,0.8845,10,3.298,3.3,4,0,19,24,42.46,27.54,48.0,0
DC-02,SKU-008,antiviral,147,0,147,45.51,1.257,57.22,2.384,28,2.569,2.57,4,0,20,18,114.43,32.57,48.0,0
DC-03,SKU-012,antiviral,100,25,125,33.27,0.878,29.23,1.2178,14,4.277,4.28,5,1,5,18,58.45,66.55,48.0,0
DC-02,SKU-006,antibiotic,172,0,172,88.72,1.153,102.26,4.261,51,1.682,1.68,1,0,21,36,204.53,-32.53,28.4,1
DC-04,SKU-005,reefer,0,0,0,66.5,1.319,87.72,3.6548,43,0.0,0.0,0,0,5,24,175.43,-175.43,0.0,1
DC-01,SKU-013,reefer,170,102,272,114.43,1.341,153.5,6.3959,76,1.772,1.77,2,0,0,6,307.01,-35.01,30.64,1
DC-05,SKU-010,reefer,135,71,206,98.6,1.342,132.36,5.5152,66,1.556,1.56,4,0,17,12,264.73,-58.73,25.38,1
DC-05,SKU-005,reefer,97,45,142,119.51,0.761,90.92,3.7883,45,1.562,1.56,5,1,9,12,181.84,-39.84,25.6,1
DC-01,SKU-014,antibiotic,254,0,254,74.51,1.44,107.29,4.4705,53,2.367,2.37,5,1,3,12,214.58,39.42,44.96,1
DC-05,SKU-003,antiviral,67,0,67,46.68,0.976,45.55,1.8977,22,1.471,1.47,2,0,2,24,91.09,-24.09,23.71,1
DC-05,SKU-012,antiviral,181,8,189,64.19,0.816,52.36,2.1819,26,3.609,3.61,6,1,17,18,104.73,84.27,48.0,0
DC-03,SKU-015,cardiac,382,0,382,81.44,0.714,58.15,2.4227,29,6.57,6.57,5,1,5,36,116.29,265.71,48.0,0
DC-03,SKU-001,cardiac,72,16,88,28.45,0.901,25.62,1.0677,12,3.434,3.43,3,0,7,18,51.25,36.75,48.0,0
DC-03,SKU-015,cardiac,271,29,300,80.83,1.241,100.34,4.181,50,2.99,2.99,1,0,11,18,200.69,99.31,48.0,0
DC-04,SKU-012,antiviral,191,96,287,76.08,0.872,66.37,2.7656,33,4.324,4.32,0,0,1,6,132.75,154.25,48.0,0
DC-01,SKU-015,cardiac,0,0,0,90.88,0.727,66.04,2.7518,33,0.0,0.0,0,0,9,18,132.09,-132.09,0.0,1
DC-04,SKU-011,cardiac,72,19,91,15.51,1.044,16.2,0.675,8,5.618,5.62,5,1,19,24,32.4,58.6,48.0,0
DC-02,SKU-010,reefer,492,34,526,92.47,0.82,75.78,3.1575,37,6.941,6.94,2,0,5,36,151.56,374.44,48.0,0
DC-05,SKU-006,antibiotic,297,0,297,86.26,1.426,123.03,5.1262,61,2.414,2.41,6,1,19,36,246.06,50.94,46.04,1
DC-04,SKU-002,reefer,4,9,13,11.64,0.857,9.98,0.4159,4,1.302,1.3,3,0,9,18,19.96,-6.96,21.64,1
DC-01,SKU-015,cardiac,204,91,295,96.26,1.214,116.81,4.8671,58,2.525,2.53,4,0,12,12,233.62,61.38,48.0,0
DC-05,SKU-012,antiviral,82,107,189,37.2,0.979,36.41,1.5171,18,5.191,5.19,1,0,22,18,72.82,116.18,48.0,0
DC-05,SKU-008,antiviral,9,5,14,8.83,0.763,6.73,0.2805,3,2.08,2.08,5,1,6,12,13.46,0.54,39.22,1
DC-05,SKU-014,antibiotic,55,2,57,18.1,1.17,21.17,0.8823,10,2.692,2.69,4,0,3,12,42.35,14.65,48.0,0
DC-02,SKU-003,antiviral,135,145,280,62.84,0.684,42.98,1.7909,21,6.514,6.51,0,0,14,18,85.96,194.04,48.0,0
DC-03,SKU-006,antibiotic,40,26,66,11.77,0.699,8.23,0.3429,4,8.02,8.02,1,0,3,48,16.46,49.54,48.0,0
DC-01,SKU-007,antiviral,129,0,129,75.06,1.311,98.38,4.0993,49,1.311,1.31,5,1,15,36,196.76,-67.76,19.52,1
DC-01,SKU-015,cardiac,92,0,92,28.25,1.362,38.48,1.6033,19,2.391,2.39,0,0,13,36,76.96,15.04,45.53,1
DC-04,SKU-005,reefer,190,0,190,71.11,1.38,98.14,4.0893,49,1.936,1.94,3,0,17,12,196.29,-6.29,34.48,1
DC-01,SKU-007,antiviral,114,3,117,38.68,0.924,35.74,1.4892,17,3.274,3.27,6,1,6,24,71.48,45.52,48.0,0
DC-04,SKU-002,reefer,414,113,527,77.23,1.345,103.87,4.3278,51,5.074,5.07,4,0,11,24,207.73,319.27,48.0,0
DC-02,SKU-006,antibiotic,121,49,170,117.82,1.066,125.65,5.2353,62,1.353,1.35,2,0,2,24,251.3,-81.3,20.63,0
DC-04,SKU-012,antiviral,57,9,66,35.13,0.629,22.1,0.9209,11,2.986,2.99,3,0,23,48,44.2,21.8,48.0,0
DC-02,SKU-015,cardiac,276,66,342,74.37,1.104,82.13,3.4222,41,4.164,4.16,0,0,23,36,164.27,177.73,48.0,0
DC-04,SKU-002,reefer,373,264,637,114.21,1.163,132.82,5.534,66,4.796,4.8,3,0,18,36,265.63,371.37,48.0,0
DC-05,SKU-011,cardiac,184,32,216,44.91,0.689,30.95,1.2896,15,6.979,6.98,6,1,13,18,61.9,154.1,48.0,0
DC-04,SKU-003,antiviral,198,0,198,109.09,1.498,163.4,6.8084,81,1.212,1.21,1,0,19,12,326.81,-128.81,17.18,1
DC-05,SKU-010,reefer,0,236,236,100.76,0.616,62.11,2.5879,31,3.8,3.8,0,0,0,6,124.22,111.78,48.0,0
DC-01,SKU-010,reefer,214,0,214,64.08,0.898,57.53,2.3973,28,3.72,3.72,6,1,6,6,115.07,98.93,48.0,0
DC-01,SKU-015,cardiac,39,0,39,15.28,0.62,9.47,0.3948,4,4.117,4.12,1,0,23,24,18.95,20.05,48.0,0
DC-02,SKU-008,antiviral,100,0,100,74.77,0.971,72.59,3.0245,36,1.378,1.38,5,1,1,36,145.18,-45.18,21.16,1
DC-01,SKU-008,antiviral,73,0,73,33.75,0.641,21.62,0.901,10,3.376,3.38,6,1,5,12,43.25,29.75,48.0,0
DC-02,SKU-006,antibiotic,47,11,58,17.57,1.423,25.0,1.0418,12,2.32,2.32,1,0,16,18,50.01,7.99,44.15,1
DC-02,SKU-010,reefer,20,15,35,25.07,1.105,27.71,1.1546,13,1.263,1.26,2,0,12,18,55.42,-20.42,19.05,1
DC-05,SKU-008,antiviral,160,0,160,48.34,1.164,56.27,2.3446,28,2.843,2.84,5,1,21,24,112.54,47.46,48.0,0
DC-05,SKU-013,reefer,109,16,125,42.32,0.66,27.95,1.1644,13,4.473,4.47,5,1,14,18,55.89,69.11,48.0,0
DC-04,SKU-013,reefer,171,0,171,68.37,1.365,93.32,3.8882,46,1.832,1.83,4,0,16,6,186.64,-15.64,32.15,1
DC-01,SKU-007,antiviral,171,91,262,62.04,1.425,88.39,3.6829,44,2.964,2.96,6,1,13,36,176.78,85.22,48.0,0
DC-01,SKU-009,antiviral,61,0,61,25.2,1.434,36.14,1.5057,18,1.688,1.69,2,0,5,36,72.27,-11.27,28.56,1
DC-04,SKU-005,reefer,205,54,259,117.88,1.306,153.9,6.4125,76,1.683,1.68,2,0,0,18,307.8,-48.8,28.54,1
DC-04,SKU-002,reefer,151,0,151,34.64,0.642,22.24,0.9267,11,6.789,6.79,1,0,1,36,44.48,106.52,48.0,0
DC-05,SKU-004,reefer,247,0,247,117.09,1.466,171.66,7.1523,85,1.439,1.44,2,0,13,12,343.31,-96.31,22.65,1
DC-05,SKU-011,cardiac,105,16,121,54.04,1.169,63.2,2.6333,31,1.915,1.91,6,1,10,12,126.4,-5.4,34.18,1
DC-04,SKU-015,cardiac,22,0,22,14.1,0.912,12.86,0.5357,6,1.711,1.71,3,0,8,24,25.71,-3.71,29.87,1
DC-02,SKU-009,antiviral,38,126,164,36.67,0.824,30.2,1.2585,15,5.43,5.43,5,1,17,18,60.41,103.59,48.0,0
DC-02,SKU-003,antiviral,134,17,151,40.1,1.086,43.53,1.8137,21,3.469,3.47,4,0,5,24,87.06,63.94,48.0,0
DC-02,SKU-004,reefer,2,0,2,30.53,1.102,33.64,1.4017,16,0.059,0.06,1,0,18,12,67.28,-65.28,0.0,1
DC-02,SKU-014,antibiotic,57,42,99,40.89,0.798,32.63,1.3595,16,3.034,3.03,1,0,20,24,65.26,33.74,48.0,0
DC-01,SKU-013,reefer,36,0,36,30.45,0.836,25.46,1.0609,12,1.414,1.41,4,0,20,12,50.92,-14.92,22.62,1
DC-02,SKU-008,antiviral,178,56,234,53.71,0.714,38.32,1.5967,19,6.106,6.11,0,0,9,18,76.64,157.36,48.0,0
DC-05,SKU-010,reefer,0,0,0,80.12,0.646,51.72,2.1549,25,0.0,0.0,5,1,7,12,103.44,-103.44,0.0,1
DC-02,SKU-001,cardiac,58,29,87,24.46,1.404,34.35,1.4311,17,2.533,2.53,0,0,9,18,68.69,18.31,48.0,0
DC-01,SKU-006,antibiotic,0,0,0,9.48,1.329,12.59,0.5246,6,0.0,0.0,3,0,17,24,25.18,-25.18,0.0,1
DC-03,SKU-011,cardiac,331,0,331,102.94,0.692,71.25,2.9689,35,4.645,4.65,5,1,19,12,142.51,188.49,48.0,0
DC-03,SKU-002,reefer,18,0,18,33.12,0.943,31.24,1.3016,15,0.576,0.58,4,0,23,12,62.48,-44.48,2.3,1
DC-05,SKU-007,antiviral,31,0,31,102.77,0.822,84.52,3.5217,42,0.367,0.37,1,0,16,18,169.04,-138.04,0.0,1
DC-01,SKU-007,antiviral,255,0,255,116.48,1.171,136.4,5.6834,68,1.869,1.87,1,0,9,18,272.8,-17.8,32.9,1
DC-03,SKU-013,reefer,199,11,210,74.06,0.767,56.78,2.3658,28,3.699,3.7,1,0,22,18,113.56,96.44,48.0,0
DC-04,SKU-013,reefer,138,37,175,87.71,1.096,96.12,4.0049,48,1.821,1.82,6,1,14,24,192.24,-17.24,31.71,1
DC-01,SKU-010,reefer,306,125,431,69.16,1.225,84.7,3.5292,42,5.088,5.09,2,0,0,48,169.4,261.6,48.0,0
DC-04,SKU-005,reefer,233,82,315,84.87,0.785,66.63,2.7761,33,4.728,4.73,0,0,18,18,133.25,181.75,48.0,0
DC-05,SKU-002,reefer,71,41,112,35.38,1.243,43.99,1.8329,21,2.546,2.55,3,0,1,12,87.98,24.02,48.0,0
DC-02,SKU-006,antibiotic,44,0,44,26.85,1.413,37.93,1.5805,18,1.16,1.16,4,0,7,24,75.86,-31.86,16.45,1
DC-01,SKU-013,reefer,2,53,55,47.25,1.273,60.14,2.506,30,0.914,0.91,6,1,20,36,120.29,-65.29,9.98,1
DC-02,SKU-005,reefer,191,4,195,78.77,0.603,47.52,1.9799,23,4.104,4.1,5,1,22,18,95.03,99.97,48.0,0
DC-01,SKU-008,antiviral,0,0,0,72.59,0.625,45.35,1.8897,22,0.0,0.0,6,1,13,18,90.71,-90.71,0.0,1
DC-02,SKU-002,reefer,159,353,512,55.14,0.647,35.66,1.4859,17,14.357,14.36,0,0,6,18,71.33,440.67,48.0,0
DC-05,SKU-009,antiviral,0,0,0,105.53,1.115,117.67,4.9028,58,0.0,0.0,5,1,7,6,235.34,-235.34,0.0,1
DC-03,SKU-001,cardiac,101,184,285,119.01,1.078,128.3,5.3458,64,2.221,2.22,4,0,17,12,256.6,28.4,41.34,1
DC-01,SKU-004,reefer,171,0,171,46.98,1.435,67.41,2.8088,33,2.537,2.54,4,0,14,24,134.82,36.18,48.0,0
DC-01,SKU-008,antiviral,36,6,42,6.78,1.182,8.02,0.3342,4,5.236,5.24,6,1,11,12,16.04,25.96,48.0,0
DC-03,SKU-013,reefer,75,2,77,21.91,0.786,17.22,0.7175,8,4.472,4.47,2,0,8,12,34.44,42.56,48.0,0
DC-03,SKU-010,reefer,75,4,79,18.11,1.372,24.85,1.0353,12,3.179,3.18,3,0,18,6,49.69,29.31,48.0,0
DC-04,SKU-009,antiviral,135,11,146,49.06,0.872,42.8,1.7835,21,3.411,3.41,1,0,10,24,85.61,60.39,48.0,0
DC-02,SKU-010,reefer,204,37,241,57.87,1.386,80.24,3.3433,40,3.004,3.0,2,0,13,12,160.48,80.52,48.0,0
DC-01,SKU-012,antiviral,86,39,125,97.92,0.795,77.83,3.2428,38,1.606,1.61,3,0,12,24,155.65,-30.65,26.83,0
DC-02,SKU-004,reefer,159,175,334,71.35,1.264,90.19,3.758,45,3.703,3.7,6,1,23,12,180.38,153.62,48.0,0
DC-04,SKU-010,reefer,0,0,0,87.05,1.151,100.19,4.1748,50,0.0,0.0,6,1,11,18,200.39,-200.39,0.0,1
DC-04,SKU-006,antibiotic,166,22,188,81.64,0.738,60.28,2.5117,30,3.119,3.12,0,0,19,36,120.56,67.44,48.0,0
DC-03,SKU-011,cardiac,59,62,121,30.74,0.812,24.95,1.0396,12,4.85,4.85,6,1,0,18,49.9,71.1,48.0,0
DC-03,SKU-003,antiviral,72,0,72,31.48,0.647,20.37,0.8487,10,3.535,3.53,6,1,12,18,40.74,31.26,48.0,0
DC-02,SKU-003,antiviral,20,16,36,52.49,1.102,57.83,2.4094,28,0.623,0.62,4,0,11,18,115.65,-79.65,3.32,1
DC-04,SKU-008,antiviral,130,0,130,52.69,0.616,32.46,1.3523,16,4.005,4.01,3,0,21,36,64.91,65.09,48.0,0
DC-02,SKU-008,antiviral,13,1,14,7.73,1.404,10.85,0.4521,5,1.29,1.29,2,0,21,12,21.7,-7.7,19.91,1
DC-04,SKU-004,reefer,85,6,91,70.55,1.235,87.09,3.6287,43,1.045,1.04,5,1,15,18,174.18,-83.18,13.23,1
DC-04,SKU-012,antiviral,62,40,102,44.57,0.904,40.28,1.6785,20,2.532,2.53,3,0,15,12,80.57,21.43,48.0,1
DC-05,SKU-009,antiviral,89,0,89,66.97,1.101,73.75,3.0729,36,1.207,1.21,6,1,10,12,147.5,-58.5,17.25,1
DC-04,SKU-014,antibiotic,129,6,135,27.64,1.067,29.48,1.2284,14,4.579,4.58,0,0,4,36,58.96,76.04,48.0,0
DC-01,SKU-003,antiviral,118,5,123,111.35,1.318,146.8,6.1167,73,0.838,0.84,2,0,1,36,293.6,-170.6,8.17,1
DC-03,SKU-007,antiviral,185,0,185,62.94,1.31,82.48,3.4366,41,2.243,2.24,4,0,15,12,164.96,20.04,41.9,1
DC-01,SKU-001,cardiac,24,0,24,7.66,1.287,9.85,0.4105,4,2.436,2.44,5,1,16,18,19.71,4.29,48.0,0
DC-04,SKU-011,cardiac,75,44,119,86.29,1.267,109.38,4.5573,54,1.088,1.09,6,1,1,24,218.75,-99.75,14.26,1
DC-01,SKU-015,cardiac,299,0,299,96.2,0.972,93.48,3.8949,46,3.199,3.2,0,0,5,18,186.95,112.05,48.0,0
DC-04,SKU-002,reefer,189,0,189,108.19,0.692,74.86,3.1193,37,2.525,2.52,4,0,15,18,149.73,39.27,48.0,0
DC-05,SKU-014,antibiotic,194,0,194,51.75,0.797,41.26,1.7191,20,4.702,4.7,0,0,13,48,82.52,111.48,48.0,0
DC-02,SKU-013,reefer,242,6,248,52.68,0.722,38.04,1.5848,19,6.52,6.52,2,0,1,24,76.07,171.93,48.0,0
DC-05,SKU-001,cardiac,150,12,162,112.79,1.175,132.48,5.5198,66,1.223,1.22,2,0,17,24,264.95,-102.95,17.39,1
DC-01,SKU-011,cardiac,0,0,0,25.55,1.117,28.55,1.1895,14,0.0,0.0,0,0,18,12,57.1,-57.1,0.0,1
DC-05,SKU-001,cardiac,70,67,137,59.36,0.65,38.6,1.6082,19,3.549,3.55,6,1,12,24,77.19,59.81,48.0,0
DC-02,SKU-003,antiviral,239,40,279,96.95,1.391,134.9,5.6206,67,2.068,2.07,3,0,18,12,269.79,9.21,37.72,1
DC-02,SKU-008,antiviral,54,3,57,44.55,0.853,38.0,1.5833,18,1.5,1.5,0,0,20,24,76.0,-19.0,24.63,1
DC-04,SKU-009,antiviral,107,117,224,76.58,1.286,98.47,4.1031,49,2.275,2.27,1,0,19,24,196.95,27.05,42.65,1
DC-02,SKU-003,antiviral,271,180,451,102.52,0.608,62.33,2.5971,31,7.236,7.24,4,0,20,18,124.66,326.34,48.0,0
DC-04,SKU-008,antiviral,198,165,363,109.29,1.018,111.27,4.6362,55,3.262,3.26,6,1,21,36,222.54,140.46,48.0,0
DC-03,SKU-013,reefer,556,21,577,114.25,1.358,155.17,6.4655,77,3.718,3.72,6,1,23,18,310.35,266.65,48.0,0
DC-03,SKU-006,antibiotic,62,62,124,107.31,0.607,65.1,2.7125,32,1.905,1.9,0,0,16,24,130.2,-6.2,33.92,1
DC-03,SKU-009,antiviral,221,0,221,91.26,0.799,72.91,3.038,36,3.031,3.03,6,1,4,24,145.82,75.18,48.0,0
DC-03,SKU-009,antiviral,307,0,307,110.86,1.312,145.42,6.059,72,2.111,2.11,0,0,20,24,290.83,16.17,38.79,1
DC-04,SKU-001,cardiac,163,70,233,36.1,1.059,38.21,1.5922,19,6.098,6.1,1,0,23,12,76.42,156.58,48.0,0
DC-05,SKU-005,reefer,12,0,12,4.67,1.414,6.6,0.275,3,1.818,1.82,4,0,21,24,13.2,-1.2,32.72,1
DC-03,SKU-013,reefer,48,5,53,10.79,1.064,11.49,0.4788,5,4.613,4.61,3,0,5,24,22.98,30.02,48.0,0
DC-05,SKU-010,reefer,82,0,82,110.52,1.203,132.95,5.5396,66,0.617,0.62,1,0,19,24,265.9,-183.9,2.89,1
DC-01,SKU-014,antibiotic,195,3,198,37.18,1.438,53.47,2.2279,26,3.703,3.7,1,0,14,12,106.94,91.06,48.0,0
DC-02,SKU-005,reefer,282,51,333,87.28,1.232,107.51,4.4796,53,3.097,3.1,0,0,18,36,215.02,117.98,48.0,0
DC-03,SKU-006,antibiotic,67,8,75,26.18,0.644,16.86,0.7026,8,4.448,4.45,4,0,20,36,33.73,41.27,48.0,0
DC-03,SKU-002,reefer,32,5,37,31.84,0.729,23.2,0.9669,11,1.595,1.59,6,1,4,6,46.41,-9.41,26.89,1
DC-02,SKU-007,antiviral,277,0,277,107.62,0.663,71.37,2.9739,35,3.881,3.88,2,0,3,18,142.75,134.25,48.0,0
DC-03,SKU-005,reefer,100,0,100,35.62,0.684,24.37,1.0155,12,4.103,4.1,4,0,17,36,48.74,51.26,48.0,0
DC-02,SKU-007,antiviral,43,0,43,25.2,1.366,34.42,1.4342,17,1.249,1.25,6,1,7,24,68.84,-25.84,18.13,1
DC-05,SKU-009,antiviral,226,0,226,78.65,0.916,72.02,3.0007,36,3.138,3.14,0,0,19,36,144.03,81.97,48.0,1
DC-04,SKU-001,cardiac,122,0,122,29.06,1.188,34.53,1.4388,17,3.533,3.53,2,0,21,24,69.06,52.94,48.0,0
DC-01,SKU-003,antiviral,108,0,108,25.85,1.14,29.46,1.2274,14,3.666,3.67,2,0,13,12,58.91,49.09,48.0,0
DC-05,SKU-008,antiviral,56,0,56,36.31,1.464,53.16,2.2148,26,1.054,1.05,2,0,20,24,106.31,-50.31,13.55,1
DC-04,SKU-005,reefer,203,57,260,103.86,0.982,101.98,4.249,50,2.55,2.55,1,0,7,24,203.95,56.05,48.0,0
DC-03,SKU-003,antiviral,369,253,622,79.28,1.038,82.31,3.4297,41,7.557,7.56,4,0,12,36,164.63,457.37,48.0,0
DC-01,SKU-010,reefer,0,36,36,15.17,1.116,16.94,0.7056,8,2.126,2.13,1,0,1,36,33.87,2.13,39.68,1
DC-05,SKU-003,antiviral,126,0,126,28.36,1.127,31.96,1.3317,15,3.942,3.94,2,0,0,18,63.92,62.08,48.0,0
DC-03,SKU-010,reefer,15,18,33,25.32,0.889,22.51,0.9378,11,1.466,1.47,4,0,13,18,45.01,-12.01,23.46,1
DC-01,SKU-010,reefer,33,0,33,20.88,1.164,24.31,1.0127,12,1.358,1.36,6,1,4,6,48.61,-15.61,20.74,1
DC-05,SKU-008,antiviral,176,0,176,81.7,1.13,92.31,3.8461,46,1.907,1.91,4,0,13,18,184.61,-8.61,33.8,1
DC-01,SKU-008,antiviral,298,133,431,118.21,1.293,152.9,6.3706,76,2.819,2.82,2,0,17,48,305.79,125.21,48.0,0
DC-01,SKU-006,antibiotic,213,48,261,64.76,0.848,54.9,2.2874,27,4.754,4.75,1,0,16,24,109.79,151.21,48.0,0
DC-03,SKU-004,reefer,135,7,142,41.14,1.107,45.53,1.897,22,3.119,3.12,1,0,11,18,91.06,50.94,48.0,0
DC-04,SKU-013,reefer,8,2,10,5.33,1.087,5.79,0.2412,2,1.727,1.73,1,0,6,48,11.58,-1.58,33.16,1
DC-03,SKU-011,cardiac,239,73,312,68.84,1.477,101.68,4.2367,50,3.068,3.07,3,0,11,18,203.36,108.64,48.0,0
DC-05,SKU-002,reefer,95,0,95,32.17,1.335,42.96,1.7901,21,2.211,2.21,3,0,10,24,85.92,9.08,41.34,1
DC-01,SKU-006,antibiotic,105,33,138,40.85,0.916,37.43,1.5596,18,3.687,3.69,6,1,3,24,74.86,63.14,48.0,0
DC-02,SKU-009,antiviral,36,0,36,16.33,1.191,19.46,0.8107,9,1.85,1.85,0,0,21,18,38.91,-2.91,33.3,1
DC-02,SKU-010,reefer,30,0,30,16.83,0.933,15.71,0.6544,7,1.91,1.91,2,0,5,24,31.41,-1.41,35.15,1
DC-05,SKU-011,cardiac,94,3,97,62.7,1.069,67.01,2.792,33,1.448,1.45,6,1,23,12,134.01,-37.01,22.92,1
DC-01,SKU-003,antiviral,177,38,215,50.91,0.753,38.31,1.5964,19,5.612,5.61,1,0,18,24,76.63,138.37,48.0,0
DC-05,SKU-002,reefer,270,0,270,82.89,1.408,116.68,4.8618,58,2.314,2.31,0,0,10,6,233.37,36.63,43.61,1
DC-05,SKU-008,antiviral,374,156,530,93.58,0.627,58.71,2.4462,29,9.028,9.03,4,0,20,6,117.42,412.58,48.0,0
DC-04,SKU-004,reefer,132,0,132,39.88,1.388,55.34,2.3057,27,2.385,2.39,5,1,6,18,110.67,21.33,45.54,1
DC-04,SKU-013,reefer,259,103,362,104.49,0.616,64.41,2.6835,32,5.621,5.62,2,0,2,24,128.81,233.19,48.0,0
DC-01,SKU-014,antibiotic,57,0,57,66.46,0.8,53.17,2.2153,26,1.072,1.07,3,0,21,36,106.33,-49.33,13.99,1
DC-04,SKU-002,reefer,195,5,200,56.59,1.378,77.99,3.2496,38,2.564,2.56,5,1,2,12,155.98,44.02,48.0,0
DC-05,SKU-008,antiviral,163,49,212,85.08,1.488,126.57,5.2738,63,1.675,1.67,2,0,6,18,253.14,-41.14,28.25,1
DC-02,SKU-001,cardiac,9,0,9,3.2,0.688,2.2,0.0918,1,4.086,4.09,1,0,21,36,4.41,4.59,48.0,0
DC-04,SKU-010,reefer,163,18,181,101.0,1.395,140.88,5.87,70,1.285,1.28,3,0,15,36,281.76,-100.76,18.91,1
DC-04,SKU-010,reefer,0,36,36,82.14,0.758,62.25,2.5937,31,0.578,0.58,4,0,23,48,124.5,-88.5,1.93,1
DC-04,SKU-004,reefer,310,7,317,96.55,0.85,82.05,3.4187,41,3.864,3.86,6,1,15,18,164.1,152.9,48.0,0
DC-03,SKU-007,antiviral,33,0,33,22.45,1.351,30.35,1.2644,15,1.087,1.09,3,0,21,24,60.69,-27.69,14.24,1
DC-01,SKU-001,cardiac,0,91,91,83.99,1.056,88.66,3.694,44,1.026,1.03,1,0,8,12,177.31,-86.31,12.72,1
