manifest_line_id,sku_id,category,reefer_required,manifest_quantity,warehouse_stock,avg_daily_wh_outflow,wh_days_of_cover,eta_delay_hours,num_dcs_requesting,max_m2_urgency,total_m2_requested_qty,m2_fulfillment_ratio
ML-F8E3667B,SKU-011,cardiac,0,333,449,34.27,13.1,0,145,100.0,27087,0.012
ML-F625E1BC,SKU-002,reefer,1,91,553,44.51,12.43,0,127,100.0,21690,0.004
ML-0A9D6758,SKU-014,antibiotic,0,319,327,34.21,9.56,0,133,100.0,25421,0.013
ML-E18FC01A,SKU-015,cardiac,0,414,202,22.12,9.13,0,152,100.0,27958,0.015
ML-7D1F8EAD,SKU-003,antiviral,0,437,22,5.66,3.89,0,134,100.0,23101,0.019
ML-4AA52464,SKU-002,reefer,1,439,369,27.52,13.41,28,127,100.0,21690,0.02
ML-CAA4010C,SKU-005,reefer,1,230,138,20.36,6.78,0,146,100.0,28436,0.008
ML-79E04EA5,SKU-012,antiviral,0,237,380,32.36,11.74,43,151,100.0,26848,0.009
ML-F616CF9E,SKU-013,reefer,1,30,4,13.81,0.29,25,145,100.0,27420,0.001
ML-391226A3,SKU-004,reefer,1,212,5,22.1,0.23,0,118,100.0,21357,0.01
ML-FE5DBD16,SKU-014,antibiotic,0,390,329,32.78,10.04,28,133,100.0,25421,0.015
ML-2D244613,SKU-003,antiviral,0,145,201,19.01,10.57,0,134,100.0,23101,0.006
ML-AFBA7FE2,SKU-004,reefer,1,99,9,10.48,0.86,31,118,100.0,21357,0.005
ML-1DDE9B37,SKU-007,antiviral,0,456,49,9.81,5.0,68,145,100.0,27447,0.017
ML-94594F24,SKU-006,antibiotic,0,272,346,41.71,8.3,0,151,100.0,29961,0.009
ML-7898ED22,SKU-013,reefer,1,384,307,33.71,9.11,15,145,100.0,27420,0.014
ML-5A0D4A95,SKU-010,reefer,1,481,300,23.5,12.77,0,150,100.0,29266,0.016
ML-2F126139,SKU-010,reefer,1,356,2,40.12,0.05,39,150,100.0,29266,0.012
ML-F7684C74,SKU-010,reefer,1,354,69,9.3,7.42,0,150,100.0,29266,0.012
ML-8A05C588,SKU-015,cardiac,0,58,175,38.16,4.59,0,152,100.0,27958,0.002
ML-880ED1BD,SKU-005,reefer,1,152,9,15.36,0.59,0,146,100.0,28436,0.005
ML-453224EE,SKU-013,reefer,1,450,99,27.35,3.62,0,145,100.0,27420,0.016
ML-23318EDF,SKU-003,antiviral,0,51,250,24.27,10.3,60,134,100.0,23101,0.002
ML-62AD4F4D,SKU-014,antibiotic,0,28,413,32.14,12.85,36,133,100.0,25421,0.001
ML-0516BAF9,SKU-008,antiviral,0,238,7,45.24,0.15,0,154,100.0,30751,0.008
ML-7CAB11E8,SKU-006,antibiotic,0,434,392,32.77,11.96,0,151,100.0,29961,0.014
ML-4A8F8985,SKU-012,antiviral,0,36,7,33.81,0.21,0,151,100.0,26848,0.001
ML-FCD54032,SKU-006,antibiotic,0,309,196,19.6,10.0,2,151,100.0,29961,0.01
ML-ADBE45F2,SKU-006,antibiotic,0,218,298,49.8,5.98,0,151,100.0,29961,0.007
ML-0A3AD179,SKU-010,reefer,1,45,533,48.27,11.04,0,150,100.0,29266,0.002
ML-404A7033,SKU-010,reefer,1,455,48,24.02,2.0,0,150,100.0,29266,0.016
ML-3FEC9E7E,SKU-008,antiviral,0,477,90,26.37,3.41,5,154,100.0,30751,0.016
ML-7A7516DE,SKU-004,reefer,1,369,4,39.59,0.1,0,118,100.0,21357,0.017
ML-6CD5F9B1,SKU-006,antibiotic,0,475,376,40.46,9.29,0,151,100.0,29961,0.016
ML-918F76F2,SKU-004,reefer,1,235,6,7.84,0.77,0,118,100.0,21357,0.011
ML-26AD37E4,SKU-002,reefer,1,370,77,8.94,8.61,0,127,100.0,21690,0.017
ML-E9B6CF47,SKU-004,reefer,1,199,205,25.12,8.16,43,118,100.0,21357,0.009
ML-1E8AA424,SKU-015,cardiac,0,351,244,30.5,8.0,0,152,100.0,27958,0.013
ML-2FA08C72,SKU-006,antibiotic,0,91,279,33.26,8.39,67,151,100.0,29961,0.003
ML-32F527BD,SKU-007,antiviral,0,445,95,41.84,2.27,0,145,100.0,27447,0.016
ML-63254055,SKU-003,antiviral,0,475,634,48.08,13.19,0,134,100.0,23101,0.021
ML-3745D394,SKU-013,reefer,1,319,70,19.12,3.66,52,145,100.0,27420,0.012
ML-9DC50D8E,SKU-003,antiviral,0,492,4,22.94,0.17,0,134,100.0,23101,0.021
ML-10FE0121,SKU-005,reefer,1,491,3,27.77,0.11,0,146,100.0,28436,0.017
ML-0E9DCA3E,SKU-012,antiviral,0,456,1,33.84,0.03,0,151,100.0,26848,0.017
ML-50B8C3D7,SKU-003,antiviral,0,296,58,7.76,7.47,0,134,100.0,23101,0.013
ML-345BD091,SKU-011,cardiac,0,187,104,7.6,13.68,0,145,100.0,27087,0.007
ML-FABB135D,SKU-003,antiviral,0,158,33,10.46,3.15,0,134,100.0,23101,0.007
ML-CB1A52B7,SKU-012,antiviral,0,106,328,27.92,11.75,0,151,100.0,26848,0.004
ML-146DF6C2,SKU-004,reefer,1,230,235,33.08,7.1,0,118,100.0,21357,0.011
ML-25430151,SKU-004,reefer,1,200,6,25.24,0.24,0,118,100.0,21357,0.009
ML-EE4C5AB8,SKU-006,antibiotic,0,23,175,12.96,13.5,0,151,100.0,29961,0.001
ML-252466B2,SKU-014,antibiotic,0,228,214,23.84,8.98,0,133,100.0,25421,0.009
ML-683ABCC7,SKU-008,antiviral,0,432,394,32.85,11.99,0,154,100.0,30751,0.014
ML-04196BEC,SKU-005,reefer,1,347,0,7.91,0.0,0,146,100.0,28436,0.012
ML-24B312CE,SKU-012,antiviral,0,404,80,25.45,3.14,0,151,100.0,26848,0.015
ML-FB750B99,SKU-004,reefer,1,43,151,19.61,7.7,0,118,100.0,21357,0.002
ML-A1AF7900,SKU-004,reefer,1,422,326,25.68,12.7,17,118,100.0,21357,0.02
ML-9628DA03,SKU-008,antiviral,0,402,138,47.43,2.91,0,154,100.0,30751,0.013
ML-ED41145C,SKU-002,reefer,1,323,195,16.39,11.9,0,127,100.0,21690,0.015
ML-051C65F1,SKU-008,antiviral,0,452,0,25.26,0.0,0,154,100.0,30751,0.015
ML-A37F9C7D,SKU-008,antiviral,0,182,95,11.76,8.08,0,154,100.0,30751,0.006
ML-13BC2035,SKU-013,reefer,1,209,25,8.82,2.84,0,145,100.0,27420,0.008
ML-A2429F5C,SKU-008,antiviral,0,26,299,48.04,6.22,0,154,100.0,30751,0.001
ML-AE027D64,SKU-011,cardiac,0,445,168,39.86,4.21,0,145,100.0,27087,0.016
ML-C611E5DD,SKU-005,reefer,1,270,179,34.71,5.16,0,146,100.0,28436,0.009
ML-266AE12E,SKU-012,antiviral,0,346,173,18.3,9.46,0,151,100.0,26848,0.013
ML-0B8A8E64,SKU-002,reefer,1,460,118,10.46,11.28,0,127,100.0,21690,0.021
ML-233ECF92,SKU-010,reefer,1,128,79,6.89,11.47,0,150,100.0,29266,0.004
ML-EEB3B39D,SKU-008,antiviral,0,267,352,32.08,10.97,11,154,100.0,30751,0.009
ML-8AC58A39,SKU-010,reefer,1,280,31,9.99,3.1,0,150,100.0,29266,0.01
ML-6809903A,SKU-014,antibiotic,0,133,3,22.49,0.13,0,133,100.0,25421,0.005
ML-DC8F7E90,SKU-005,reefer,1,181,135,13.89,9.72,0,146,100.0,28436,0.006
ML-236FC3FA,SKU-014,antibiotic,0,128,1,44.57,0.02,0,133,100.0,25421,0.005
ML-F400502B,SKU-014,antibiotic,0,158,426,49.03,8.69,0,133,100.0,25421,0.006
ML-F7C1AEA9,SKU-011,cardiac,0,265,391,29.53,13.24,0,145,100.0,27087,0.01
ML-E160020A,SKU-002,reefer,1,267,129,10.93,11.8,0,127,100.0,21690,0.012
ML-6A8C5D3E,SKU-003,antiviral,0,416,364,42.83,8.5,0,134,100.0,23101,0.018
ML-2C594781,SKU-008,antiviral,0,12,188,18.39,10.22,25,154,100.0,30751,0.0
ML-71D4F989,SKU-005,reefer,1,120,143,12.24,11.68,3,146,100.0,28436,0.004
ML-68C24F75,SKU-001,cardiac,0,397,109,9.46,11.52,0,160,100.0,29220,0.014
ML-645E848F,SKU-010,reefer,1,414,161,37.99,4.24,0,150,100.0,29266,0.014
ML-7A1A7727,SKU-013,reefer,1,402,9,29.94,0.3,12,145,100.0,27420,0.015
ML-64C5F804,SKU-001,cardiac,0,471,90,14.11,6.38,0,160,100.0,29220,0.016
ML-5A2FBC5C,SKU-003,antiviral,0,232,261,18.75,13.92,0,134,100.0,23101,0.01
ML-8D9EA5D5,SKU-013,reefer,1,141,341,37.49,9.09,0,145,100.0,27420,0.005
ML-E7B00310,SKU-005,reefer,1,319,5,36.3,0.14,0,146,100.0,28436,0.011
ML-E92B4A10,SKU-012,antiviral,0,66,280,22.45,12.47,0,151,100.0,26848,0.002
ML-57A21621,SKU-003,antiviral,0,225,3,9.69,0.31,0,134,100.0,23101,0.01
ML-F20EDBA5,SKU-014,antibiotic,0,33,185,35.44,5.22,49,133,100.0,25421,0.001
ML-2C275E04,SKU-015,cardiac,0,375,128,11.7,10.94,31,152,100.0,27958,0.013
ML-EB01F1E6,SKU-004,reefer,1,201,98,28.41,3.45,18,118,100.0,21357,0.009
ML-5DF1554A,SKU-015,cardiac,0,125,87,7.81,11.13,45,152,100.0,27958,0.004
ML-5FADBDE7,SKU-001,cardiac,0,410,139,33.69,4.13,0,160,100.0,29220,0.014
ML-417272DA,SKU-015,cardiac,0,87,517,38.62,13.39,0,152,100.0,27958,0.003
ML-4900A5CE,SKU-004,reefer,1,70,0,49.08,0.0,0,118,100.0,21357,0.003
ML-217CB7A6,SKU-006,antibiotic,0,207,4,28.31,0.14,0,151,100.0,29961,0.007
ML-526D7C9E,SKU-003,antiviral,0,311,114,15.15,7.53,0,134,100.0,23101,0.013
ML-79DA4F43,SKU-005,reefer,1,83,451,47.18,9.56,0,146,100.0,28436,0.003
ML-6EA9D1DC,SKU-007,antiviral,0,428,275,24.66,11.15,0,145,100.0,27447,0.016
ML-19955920,SKU-012,antiviral,0,373,109,11.09,9.83,30,151,100.0,26848,0.014
ML-E230F738,SKU-008,antiviral,0,373,6,7.01,0.86,0,154,100.0,30751,0.012
ML-8F47D14C,SKU-012,antiviral,0,279,5,16.23,0.31,0,151,100.0,26848,0.01
ML-B1201466,SKU-009,antiviral,0,214,3,17.07,0.18,0,134,100.0,25002,0.009
ML-D40C771A,SKU-004,reefer,1,347,3,45.79,0.07,0,118,100.0,21357,0.016
ML-87A49B63,SKU-011,cardiac,0,16,7,8.89,0.79,0,145,100.0,27087,0.001
ML-89E48381,SKU-008,antiviral,0,152,533,44.7,11.92,14,154,100.0,30751,0.005
ML-1DCF44E4,SKU-009,antiviral,0,174,2,49.16,0.04,37,134,100.0,25002,0.007
ML-C606B8E0,SKU-008,antiviral,0,314,240,25.88,9.27,0,154,100.0,30751,0.01
ML-EE8D6762,SKU-009,antiviral,0,170,9,11.81,0.76,0,134,100.0,25002,0.007
ML-3F98D6A6,SKU-006,antibiotic,0,298,1,28.55,0.04,0,151,100.0,29961,0.01
ML-45065314,SKU-011,cardiac,0,178,380,40.63,9.35,0,145,100.0,27087,0.007
ML-07EE9BD9,SKU-002,reefer,1,74,5,24.29,0.21,66,127,100.0,21690,0.003
ML-D716F942,SKU-010,reefer,1,107,481,43.79,10.98,0,150,100.0,29266,0.004
ML-04A9CB40,SKU-015,cardiac,0,433,137,10.04,13.65,49,152,100.0,27958,0.015
ML-D961A485,SKU-007,antiviral,0,286,137,12.41,11.04,0,145,100.0,27447,0.01
ML-5C00D326,SKU-008,antiviral,0,241,553,44.5,12.43,0,154,100.0,30751,0.008
ML-B88C4F32,SKU-009,antiviral,0,177,114,49.32,2.31,0,134,100.0,25002,0.007
ML-FA8C57B3,SKU-014,antibiotic,0,396,366,45.91,7.97,0,133,100.0,25421,0.016
ML-973D3B03,SKU-004,reefer,1,288,474,41.99,11.29,12,118,100.0,21357,0.013
ML-A8CB834B,SKU-010,reefer,1,17,160,17.92,8.93,0,150,100.0,29266,0.001
ML-5DD38341,SKU-007,antiviral,0,402,191,22.82,8.37,0,145,100.0,27447,0.015
ML-DAB86EDC,SKU-004,reefer,1,463,500,40.7,12.29,40,118,100.0,21357,0.022
ML-DE24B43E,SKU-006,antibiotic,0,426,7,31.92,0.22,48,151,100.0,29961,0.014
ML-C10190D8,SKU-011,cardiac,0,110,74,24.81,2.98,12,145,100.0,27087,0.004
ML-E7C5918A,SKU-011,cardiac,0,311,151,19.39,7.79,0,145,100.0,27087,0.011
ML-049E664E,SKU-014,antibiotic,0,278,268,19.54,13.72,0,133,100.0,25421,0.011
ML-222ECE34,SKU-011,cardiac,0,334,320,30.19,10.6,5,145,100.0,27087,0.012
ML-6BD6A670,SKU-003,antiviral,0,198,5,20.16,0.25,0,134,100.0,23101,0.009
ML-32D59DC3,SKU-003,antiviral,0,69,227,19.15,11.86,0,134,100.0,23101,0.003
ML-F73054F7,SKU-005,reefer,1,225,164,27.24,6.02,0,146,100.0,28436,0.008
ML-EA00F040,SKU-005,reefer,1,165,4,42.17,0.09,0,146,100.0,28436,0.006
ML-48D81C6D,SKU-002,reefer,1,50,8,38.29,0.21,0,127,100.0,21690,0.002
ML-7081F3F1,SKU-006,antibiotic,0,282,589,42.87,13.74,0,151,100.0,29961,0.009
ML-2FBA0E1F,SKU-004,reefer,1,390,362,35.43,10.22,0,118,100.0,21357,0.018
ML-04A2E507,SKU-007,antiviral,0,463,7,43.51,0.16,0,145,100.0,27447,0.017
ML-B560BBE2,SKU-015,cardiac,0,76,205,36.24,5.66,0,152,100.0,27958,0.003
ML-28B013FC,SKU-003,antiviral,0,322,247,18.68,13.22,39,134,100.0,23101,0.014
ML-BD5B66F7,SKU-009,antiviral,0,364,75,7.66,9.79,23,134,100.0,25002,0.015
ML-B244D4C2,SKU-011,cardiac,0,100,106,22.54,4.7,0,145,100.0,27087,0.004
ML-07C942C9,SKU-014,antibiotic,0,44,182,23.57,7.72,0,133,100.0,25421,0.002
ML-69475F4A,SKU-008,antiviral,0,353,21,6.22,3.37,51,154,100.0,30751,0.011
ML-1099EF92,SKU-003,antiviral,0,435,502,36.47,13.77,0,134,100.0,23101,0.019
ML-C653F0FA,SKU-009,antiviral,0,260,320,33.27,9.62,0,134,100.0,25002,0.01
ML-B72E9DAE,SKU-008,antiviral,0,431,0,10.41,0.0,0,154,100.0,30751,0.014
ML-3D17A23E,SKU-001,cardiac,0,385,51,17.77,2.87,0,160,100.0,29220,0.013
ML-6B09F386,SKU-014,antibiotic,0,231,7,31.95,0.22,41,133,100.0,25421,0.009
ML-C8885ADB,SKU-008,antiviral,0,136,400,33.18,12.06,0,154,100.0,30751,0.004
ML-735DBA89,SKU-012,antiviral,0,44,151,17.05,8.86,0,151,100.0,26848,0.002
ML-F3F6DAF5,SKU-004,reefer,1,366,8,31.95,0.25,68,118,100.0,21357,0.017
ML-46DA0BF3,SKU-003,antiviral,0,474,18,7.91,2.28,0,134,100.0,23101,0.021
ML-7E80E1EB,SKU-008,antiviral,0,341,167,45.98,3.63,0,154,100.0,30751,0.011
ML-18CAA763,SKU-004,reefer,1,102,93,12.68,7.34,51,118,100.0,21357,0.005
ML-93BD4E0D,SKU-004,reefer,1,320,5,28.06,0.18,67,118,100.0,21357,0.015
ML-4C59C372,SKU-006,antibiotic,0,203,237,17.22,13.76,0,151,100.0,29961,0.007
ML-200DB0E0,SKU-006,antibiotic,0,271,5,45.12,0.11,0,151,100.0,29961,0.009
ML-36C78229,SKU-008,antiviral,0,476,104,17.46,5.96,0,154,100.0,30751,0.015
ML-D6C68A9A,SKU-008,antiviral,0,151,7,32.49,0.22,0,154,100.0,30751,0.005
ML-7F0FD677,SKU-013,reefer,1,495,7,43.44,0.16,0,145,100.0,27420,0.018
ML-75E94E46,SKU-012,antiviral,0,362,179,20.25,8.84,0,151,100.0,26848,0.013
ML-3BD6FF14,SKU-011,cardiac,0,319,142,46.93,3.03,0,145,100.0,27087,0.012
ML-37C5ACB6,SKU-008,antiviral,0,286,256,20.54,12.47,0,154,100.0,30751,0.009
ML-E5A4F2C3,SKU-011,cardiac,0,156,100,25.28,3.96,0,145,100.0,27087,0.006
ML-B2E8031A,SKU-003,antiviral,0,341,227,44.7,5.08,0,134,100.0,23101,0.015
ML-EAE9376C,SKU-001,cardiac,0,310,397,37.33,10.64,46,160,100.0,29220,0.011
ML-BB2622CB,SKU-007,antiviral,0,167,3,16.59,0.18,0,145,100.0,27447,0.006
ML-6931B43E,SKU-002,reefer,1,333,143,22.27,6.42,0,127,100.0,21690,0.015
ML-CA3A0CD2,SKU-012,antiviral,0,433,9,38.8,0.23,0,151,100.0,26848,0.016
ML-57C3151B,SKU-009,antiviral,0,432,229,23.57,9.72,10,134,100.0,25002,0.017
ML-27624461,SKU-014,antibiotic,0,219,6,11.25,0.53,70,133,100.0,25421,0.009
ML-23396D18,SKU-011,cardiac,0,126,7,45.61,0.15,41,145,100.0,27087,0.005
ML-1E3F02D1,SKU-014,antibiotic,0,277,163,18.28,8.92,0,133,100.0,25421,0.011
ML-99F490D1,SKU-005,reefer,1,71,323,30.14,10.72,0,146,100.0,28436,0.002
ML-4E9C709D,SKU-012,antiviral,0,286,364,36.16,10.07,0,151,100.0,26848,0.011
ML-1DC87734,SKU-005,reefer,1,495,469,40.5,11.58,28,146,100.0,28436,0.017
ML-877BD8BF,SKU-012,antiviral,0,344,9,39.17,0.23,0,151,100.0,26848,0.013
ML-1D3FE99C,SKU-006,antibiotic,0,109,184,22.68,8.11,0,151,100.0,29961,0.004
ML-1B6CF85C,SKU-007,antiviral,0,205,93,7.02,13.26,0,145,100.0,27447,0.007
ML-978B42B8,SKU-010,reefer,1,453,0,22.05,0.0,0,150,100.0,29266,0.015
ML-2497123A,SKU-005,reefer,1,401,5,21.41,0.23,0,146,100.0,28436,0.014
ML-2D395A0A,SKU-004,reefer,1,122,26,11.32,2.3,0,118,100.0,21357,0.006
ML-4D58D8C5,SKU-011,cardiac,0,54,5,22.29,0.22,51,145,100.0,27087,0.002
ML-C6BB2523,SKU-002,reefer,1,271,213,39.03,5.46,37,127,100.0,21690,0.012
ML-2439628B,SKU-010,reefer,1,133,176,19.13,9.2,29,150,100.0,29266,0.005
ML-51AA3023,SKU-013,reefer,1,68,319,48.25,6.61,0,145,100.0,27420,0.002
ML-CFCF4C48,SKU-004,reefer,1,78,101,11.94,8.46,51,118,100.0,21357,0.004
ML-0C21B925,SKU-003,antiviral,0,51,174,42.21,4.12,0,134,100.0,23101,0.002
ML-AE5DBE29,SKU-015,cardiac,0,30,299,48.49,6.17,0,152,100.0,27958,0.001
ML-F7DFFA33,SKU-008,antiviral,0,134,196,24.98,7.85,0,154,100.0,30751,0.004
ML-0FA75BC4,SKU-001,cardiac,0,108,394,44.61,8.83,0,160,100.0,29220,0.004
ML-57FA4BBD,SKU-005,reefer,1,496,0,22.78,0.0,19,146,100.0,28436,0.017
ML-71F41249,SKU-015,cardiac,0,73,197,31.69,6.22,0,152,100.0,27958,0.003
ML-3B7D0CBC,SKU-006,antibiotic,0,158,103,38.56,2.67,0,151,100.0,29961,0.005
ML-A25D2709,SKU-009,antiviral,0,55,87,6.55,13.28,0,134,100.0,25002,0.002
ML-A36BBC4F,SKU-012,antiviral,0,245,219,38.96,5.62,0,151,100.0,26848,0.009
ML-23C84D53,SKU-011,cardiac,0,426,281,30.32,9.27,51,145,100.0,27087,0.016
ML-0E9434FD,SKU-005,reefer,1,471,235,25.52,9.21,0,146,100.0,28436,0.017
ML-C563CFC0,SKU-007,antiviral,0,374,71,26.44,2.69,0,145,100.0,27447,0.014
ML-55A343B7,SKU-001,cardiac,0,378,5,18.43,0.27,0,160,100.0,29220,0.013
ML-48E0DE15,SKU-005,reefer,1,22,6,48.72,0.12,0,146,100.0,28436,0.001
ML-0AC715D9,SKU-006,antibiotic,0,358,53,6.37,8.31,0,151,100.0,29961,0.012
ML-848A6790,SKU-005,reefer,1,473,452,41.89,10.79,0,146,100.0,28436,0.017
ML-A62C08A0,SKU-014,antibiotic,0,312,9,49.57,0.18,71,133,100.0,25421,0.012
ML-81C7E54D,SKU-014,antibiotic,0,144,67,6.99,9.59,0,133,100.0,25421,0.006
ML-554D36B0,SKU-013,reefer,1,241,552,47.17,11.7,35,145,100.0,27420,0.009
ML-FA65CAC1,SKU-002,reefer,1,200,26,8.99,2.89,0,127,100.0,21690,0.009
ML-786D19DA,SKU-014,antibiotic,0,488,26,7.97,3.26,45,133,100.0,25421,0.019
ML-9937C43E,SKU-002,reefer,1,54,268,47.98,5.59,0,127,100.0,21690,0.002
ML-5D000199,SKU-007,antiviral,0,171,106,40.75,2.6,0,145,100.0,27447,0.006
ML-6462DF37,SKU-013,reefer,1,193,6,18.29,0.33,0,145,100.0,27420,0.007
ML-631844BF,SKU-007,antiviral,0,471,5,11.85,0.42,0,145,100.0,27447,0.017
ML-A64A2C19,SKU-005,reefer,1,304,208,15.17,13.71,0,146,100.0,28436,0.011
ML-86FE5814,SKU-005,reefer,1,284,0,34.15,0.0,32,146,100.0,28436,0.01
ML-63B43614,SKU-014,antibiotic,0,83,89,31.36,2.84,0,133,100.0,25421,0.003
ML-7121CFB0,SKU-014,antibiotic,0,187,432,37.13,11.64,0,133,100.0,25421,0.007
ML-3D60404A,SKU-015,cardiac,0,269,60,11.43,5.25,0,152,100.0,27958,0.01
ML-B2C53533,SKU-014,antibiotic,0,299,29,11.02,2.63,57,133,100.0,25421,0.012
ML-C6D499A5,SKU-015,cardiac,0,250,5,28.0,0.18,50,152,100.0,27958,0.009
ML-7DB92E20,SKU-008,antiviral,0,434,60,20.32,2.95,65,154,100.0,30751,0.014
ML-F0B61A07,SKU-011,cardiac,0,156,269,30.42,8.84,51,145,100.0,27087,0.006
ML-2916507E,SKU-013,reefer,1,92,623,45.95,13.56,0,145,100.0,27420,0.003
ML-B4044D68,SKU-010,reefer,1,480,261,27.22,9.59,10,150,100.0,29266,0.016
ML-38EF6F70,SKU-015,cardiac,0,32,68,16.44,4.14,0,152,100.0,27958,0.001
