dc_id,sku_id,category,urgency_score,shortage_probability,hours_until_shortage,requested_quantity,effective_stock,projected_48h_sales,safety_stock
DC-03,SKU-013,reefer,94.7,0.9980724,2.5324926,168,29,97.4016,24
DC-02,SKU-005,reefer,94.7,0.99461997,2.5500534,380,69,225.82080000000002,56
DC-01,SKU-001,cardiac,94.6,0.99945134,2.5737302,502,84,279.624,69
DC-02,SKU-015,cardiac,94.6,0.9967603,2.5821173,370,68,224.62560000000002,56
DC-01,SKU-008,antiviral,94.6,0.99553347,2.5994835,351,61,202.47360000000003,50
DC-03,SKU-015,cardiac,94.6,0.9879857,2.5923655,240,37,124.6464,31
DC-01,SKU-001,cardiac,94.5,0.9891822,2.6534576,267,39,127.9968,31
DC-01,SKU-009,antiviral,94.4,0.998151,2.7043388,255,46,154.23839999999998,38
DC-03,SKU-005,reefer,94.4,0.99760985,2.7058876,177,32,106.7568,26
DC-02,SKU-011,cardiac,94.3,0.99963355,2.7232027,200,36,116.976,29
DC-05,SKU-010,reefer,94.2,0.9962226,2.8039153,470,82,265.9008,66
DC-03,SKU-013,reefer,94.2,0.97239786,2.7653544,319,48,158.568,39
DC-04,SKU-012,antiviral,94.0,0.99741155,2.8630621,250,45,147.64319999999998,36
DC-04,SKU-005,reefer,94.0,0.96645355,2.8757815,161,20,66.0144,16
DC-04,SKU-003,antiviral,93.9,0.95923734,2.9298158,175,24,79.7184,19
DC-05,SKU-007,antiviral,93.8,0.9968263,2.9541674,96,15,49.2672,12
DC-01,SKU-003,antiviral,93.5,0.99775875,3.1311693,205,38,123.0192,30
DC-02,SKU-015,cardiac,93.5,0.9927262,3.122924,368,63,201.2736,50
DC-05,SKU-013,reefer,93.5,0.9715209,3.1043334,248,44,140.5872,35
DC-02,SKU-003,antiviral,93.3,0.99909604,3.2370236,73,14,45.2928,11
DC-03,SKU-005,reefer,93.3,0.98585606,3.2097669,300,46,148.2336,37
DC-03,SKU-003,antiviral,93.1,0.99790645,3.3336549,153,27,85.512,21
DC-02,SKU-003,antiviral,93.1,0.9977628,3.301721,212,36,115.65120000000002,28
DC-03,SKU-010,reefer,93.1,0.9887714,3.3014958,389,68,214.74720000000002,53
DC-03,SKU-005,reefer,93.0,0.9916021,3.347908,294,49,155.832,38
DC-04,SKU-008,antiviral,92.9,0.9976094,3.4228306,355,70,218.2704,54
DC-05,SKU-010,reefer,92.7,0.99767405,3.5241215,50,9,28.300800000000002,7
DC-04,SKU-008,antiviral,92.7,0.9965153,3.4808753,223,44,136.896,34
DC-05,SKU-008,antiviral,92.6,0.9988426,3.5420568,140,25,79.9056,19
DC-02,SKU-006,antibiotic,92.5,0.998478,3.5899093,124,21,66.52799999999999,16
DC-03,SKU-004,reefer,92.5,0.99493563,3.5980651,486,97,303.7536,75
DC-03,SKU-004,reefer,92.5,0.9506486,3.6239252,163,23,72.0048,18
DC-05,SKU-007,antiviral,92.4,0.99527776,3.6621246,242,44,136.6896,34
DC-02,SKU-015,cardiac,92.3,0.99816567,3.7159035,443,86,266.97119999999995,66
DC-04,SKU-011,cardiac,92.3,0.9863979,3.6758456,357,69,213.24,53
DC-04,SKU-001,cardiac,92.0,0.9984571,3.853927,178,29,89.67360000000001,22
DC-05,SKU-009,antiviral,91.9,0.98879695,3.9049053,303,61,184.3632,46
DC-01,SKU-014,antibiotic,91.8,0.993644,3.9538977,354,62,183.336,45
DC-05,SKU-006,antibiotic,91.6,0.9920994,4.0290475,329,67,202.4976,50
DC-04,SKU-004,reefer,91.6,0.98333144,4.0237794,304,62,184.5024,46
DC-04,SKU-002,reefer,91.5,0.99542713,4.0744166,18,3,11.5488,2
DC-01,SKU-013,reefer,91.5,0.9874357,4.069724,347,55,164.9664,41
DC-01,SKU-007,antiviral,91.5,0.98471814,4.081044,386,71,208.52639999999997,52
DC-03,SKU-009,antiviral,91.5,0.96535134,4.0955415,279,57,169.40640000000002,42
DC-01,SKU-015,cardiac,91.4,0.9981318,4.1417894,21,3,11.3904,2
DC-01,SKU-007,antiviral,91.3,0.9932954,4.1615543,416,73,218.904,54
DC-03,SKU-006,antibiotic,91.2,0.9793357,4.201007,247,39,112.98240000000001,28
DC-01,SKU-002,reefer,91.2,0.9765038,4.2306495,132,23,67.8048,16
DC-05,SKU-010,reefer,91.0,0.9915792,4.307564,238,37,110.184,27
DC-01,SKU-012,antiviral,90.9,0.99545765,4.3474994,53,7,22.0032,5
DC-01,SKU-002,reefer,90.7,0.9932314,4.444087,75,11,32.678399999999996,8
DC-01,SKU-007,antiviral,90.6,0.997537,4.494062,507,109,318.40319999999997,79
DC-04,SKU-007,antiviral,90.1,0.9986852,4.7406473,474,103,296.3472,74
DC-05,SKU-004,reefer,90.0,0.98968655,4.8196692,268,59,170.5968,42
DC-04,SKU-006,antibiotic,89.8,0.9957943,4.9079614,460,92,263.3328,65
DC-04,SKU-010,reefer,89.8,0.9939027,4.910759,480,96,271.3488,67
DC-03,SKU-012,antiviral,89.8,0.97810555,4.887438,429,76,216.1776,54
DC-02,SKU-002,reefer,89.6,0.9968546,4.9858146,515,113,311.9328,77
DC-01,SKU-011,cardiac,89.5,0.99713624,5.026445,477,104,296.0016,74
DC-05,SKU-001,cardiac,89.4,0.9988325,5.1060457,206,43,122.208,30
DC-02,SKU-011,cardiac,89.4,0.9949155,5.089796,425,86,243.0192,60
DC-01,SKU-015,cardiac,89.4,0.99461764,5.086995,550,126,350.9808,87
DC-01,SKU-002,reefer,89.4,0.9851902,5.0870214,338,58,161.4432,40
DC-03,SKU-015,cardiac,89.2,0.99931836,5.1672006,143,30,84.5808,21
DC-02,SKU-012,antiviral,89.0,0.9498999,5.2588463,190,28,80.064,20
DC-05,SKU-011,cardiac,88.9,0.9990576,5.339279,194,38,107.76,26
DC-02,SKU-013,reefer,88.9,0.99804723,5.3344884,348,80,222.9936,55
DC-04,SKU-007,antiviral,88.9,0.993687,5.332996,99,22,61.38719999999999,15
DC-02,SKU-005,reefer,88.8,0.9949903,5.3606906,239,53,145.9824,36
DC-04,SKU-007,antiviral,88.6,0.97824347,5.45436,271,57,156.096,39
DC-04,SKU-011,cardiac,88.5,0.99886876,5.529629,82,16,44.208,11
DC-01,SKU-007,antiviral,88.5,0.9977912,5.5158954,139,29,79.49279999999999,19
DC-01,SKU-002,reefer,88.5,0.98996884,5.5165777,18,3,8.8176,2
DC-05,SKU-014,antibiotic,88.4,0.96753144,5.5682387,261,56,154.35840000000002,38
DC-03,SKU-015,cardiac,88.3,0.9987645,5.616611,59,13,36.672,9
DC-04,SKU-003,antiviral,88.2,0.9966097,5.6580386,182,39,107.71200000000002,26
DC-02,SKU-001,cardiac,88.0,0.99758935,5.753394,221,45,123.7872,30
DC-01,SKU-011,cardiac,87.8,0.98818994,5.871721,398,85,229.2672,57
DC-02,SKU-015,cardiac,87.7,0.99852103,5.922072,37,9,24.436799999999998,6
DC-05,SKU-014,antibiotic,87.7,0.99805486,5.9192452,315,69,187.93439999999998,46
DC-03,SKU-010,reefer,87.7,0.997891,5.921083,163,35,95.4576,23
DC-02,SKU-006,antibiotic,87.6,0.98639756,5.9450693,343,57,154.0464,38
DC-03,SKU-014,antibiotic,87.6,0.9546488,5.9482584,267,62,168.8736,42
DC-04,SKU-010,reefer,87.5,0.99311453,6.0146413,117,27,72.8736,18
DC-01,SKU-007,antiviral,87.5,0.9473475,6.0215425,222,39,104.22720000000001,26
DC-01,SKU-015,cardiac,87.4,0.9971214,6.0385036,258,43,112.83359999999999,28
DC-03,SKU-001,cardiac,87.3,0.9989906,6.0998673,180,41,110.24640000000001,27
DC-01,SKU-013,reefer,87.3,0.98892385,6.118754,268,59,156.5376,39
DC-01,SKU-011,cardiac,87.0,0.995376,6.2466936,365,83,219.20159999999998,54
DC-03,SKU-014,antibiotic,86.8,0.99753606,6.337759,38,9,24.048000000000002,6
DC-04,SKU-002,reefer,85.6,0.9948539,6.9057817,71,13,34.233599999999996,8
DC-02,SKU-008,antiviral,85.5,0.9988656,6.957714,172,38,98.6496,24
DC-01,SKU-003,antiviral,85.5,0.9926508,6.9525504,210,35,90.73920000000001,22
DC-05,SKU-010,reefer,85.4,0.9954808,7.019924,396,97,246.3648,61
DC-05,SKU-001,cardiac,85.3,0.99095845,7.04682,427,107,270.4176,67
DC-05,SKU-007,antiviral,85.3,0.9562309,7.041881,195,35,88.3488,22
DC-02,SKU-015,cardiac,85.2,0.9992466,7.0959935,164,38,96.0528,24
DC-01,SKU-014,antibiotic,85.2,0.9932775,7.105082,407,100,258.35519999999997,64
DC-05,SKU-012,antiviral,85.2,0.95970637,7.104235,376,83,208.2096,52
DC-04,SKU-012,antiviral,85.1,0.9957059,7.132792,364,82,207.86399999999998,51
DC-02,SKU-005,reefer,85.1,0.99530065,7.158623,307,67,172.2576,43
DC-02,SKU-014,antibiotic,85.1,0.9950164,7.155563,308,63,157.64159999999998,39
DC-05,SKU-005,reefer,85.0,0.99886775,7.1866827,44,7,19.886400000000002,4
DC-03,SKU-007,antiviral,84.8,0.9986071,7.3005233,215,52,131.5152,32
DC-02,SKU-008,antiviral,84.8,0.9959466,7.276789,28,5,13.3248,3
DC-02,SKU-007,antiviral,84.8,0.9950675,7.2819686,526,134,344.0976,86
DC-05,SKU-005,reefer,84.8,0.9920975,7.2833576,89,21,53.47200000000001,13
DC-02,SKU-010,reefer,84.5,0.9959591,7.4303455,504,134,332.8464,83
DC-03,SKU-004,reefer,84.3,0.9979247,7.52995,123,30,75.2208,18
DC-02,SKU-008,antiviral,84.2,0.997241,7.5758076,386,91,225.5808,56
DC-01,SKU-013,reefer,84.1,0.997156,7.6455555,452,113,277.3248,69
DC-03,SKU-008,antiviral,84.1,0.9896079,7.6381946,424,95,234.04319999999998,58
DC-05,SKU-015,cardiac,84.1,0.9828287,7.624523,368,75,185.9712,46
DC-04,SKU-012,antiviral,83.7,0.9844028,7.8367553,325,71,175.3056,43
DC-05,SKU-003,antiviral,83.7,0.98290795,7.801373,288,77,180.64319999999998,45
DC-01,SKU-010,reefer,83.6,0.99357504,7.848765,382,91,224.93760000000003,56
DC-04,SKU-007,antiviral,83.5,0.99567103,7.9122944,260,52,127.9008,31
DC-01,SKU-012,antiviral,83.5,0.96590215,7.9121304,299,58,141.816,35
DC-01,SKU-011,cardiac,83.1,0.9989291,8.130264,233,59,143.6112,35
DC-01,SKU-005,reefer,83.1,0.99664813,8.101951,212,57,136.7664,34
DC-01,SKU-003,antiviral,83.1,0.991875,8.13172,466,123,293.60159999999996,73
DC-05,SKU-009,antiviral,83.0,0.99876237,8.162402,35,9,23.3856,5
DC-02,SKU-014,antibiotic,82.9,0.99746394,8.23144,190,42,99.00480000000002,24
DC-05,SKU-005,reefer,82.8,0.9956351,8.246195,192,45,108.46079999999999,27
DC-01,SKU-003,antiviral,82.8,0.99447894,8.253392,203,55,133.0368,33
DC-01,SKU-009,antiviral,82.7,0.98847175,8.318455,283,63,149.0928,37
DC-02,SKU-008,antiviral,82.6,0.9988097,8.337936,145,36,86.352,21
DC-05,SKU-015,cardiac,82.6,0.99841475,8.35141,34,9,22.848,5
DC-02,SKU-008,antiviral,82.6,0.9929222,8.358433,178,38,91.392,22
DC-01,SKU-001,cardiac,82.0,0.997357,8.635386,88,19,46.224,11
DC-02,SKU-006,antibiotic,81.6,0.9929934,8.834855,381,82,191.06400000000002,47
DC-03,SKU-012,antiviral,81.1,0.994304,9.0562315,406,118,269.37120000000004,67
DC-03,SKU-003,antiviral,81.1,0.9828567,9.057032,406,98,219.024,54
DC-05,SKU-002,reefer,81.0,0.9979949,9.139553,55,13,31.1712,7
DC-04,SKU-004,reefer,80.9,0.9953715,9.148683,377,92,209.4336,52
DC-05,SKU-001,cardiac,80.9,0.9885484,9.148698,440,122,281.52959999999996,70
DC-04,SKU-006,antibiotic,80.7,0.9293898,9.261549,266,49,112.4112,28
DC-02,SKU-015,cardiac,80.6,0.9968823,9.326238,60,15,35.779199999999996,8
DC-05,SKU-015,cardiac,80.6,0.99218667,9.331816,198,43,98.7072,24
DC-03,SKU-007,antiviral,80.4,0.996799,9.39708,167,51,114.3552,28
DC-02,SKU-012,antiviral,80.4,0.996442,9.394494,259,67,151.1376,37
DC-05,SKU-015,cardiac,80.4,0.99455583,9.412085,248,46,104.42880000000001,26
DC-04,SKU-010,reefer,80.4,0.9934689,9.4218235,195,35,81.624,20
DC-04,SKU-006,antibiotic,80.3,0.9957194,9.438799,226,68,152.59199999999998,38
DC-04,SKU-002,reefer,80.2,0.99563617,9.514054,55,11,25.233599999999996,6
DC-01,SKU-006,antibiotic,80.1,0.9986738,9.5482235,160,40,90.1728,22
DC-04,SKU-014,antibiotic,80.1,0.9948801,9.545031,386,110,245.37120000000002,61
DC-05,SKU-005,reefer,80.1,0.9912344,9.569927,265,63,140.5584,35
DC-05,SKU-009,antiviral,80.0,0.99867755,9.581278,32,8,19.948800000000002,4
DC-03,SKU-007,antiviral,80.0,0.9942293,9.608928,83,23,52.50240000000001,13
DC-05,SKU-009,antiviral,79.8,0.99942577,9.712841,179,46,103.24799999999999,25
DC-04,SKU-013,reefer,79.8,0.9979265,9.719403,451,136,302.5872,75
DC-04,SKU-006,antibiotic,79.7,0.9929853,9.7485285,430,111,246.81600000000003,61
DC-04,SKU-007,antiviral,79.6,0.9949486,9.79956,339,86,191.4432,47
DC-01,SKU-002,reefer,79.5,0.9971205,9.849459,380,113,248.6736,62
DC-05,SKU-010,reefer,79.4,0.995097,9.877577,322,95,207.19199999999998,51
DC-01,SKU-007,antiviral,79.3,0.9985501,9.912281,230,69,153.01440000000002,38
DC-04,SKU-002,reefer,79.3,0.9970612,9.929576,238,59,130.7568,32
DC-03,SKU-011,cardiac,79.3,0.99428743,9.92806,213,43,95.9856,23
DC-03,SKU-008,antiviral,79.3,0.9886764,9.932879,331,99,217.584,54
DC-01,SKU-015,cardiac,79.2,0.9973597,9.97009,253,57,125.41919999999999,31
DC-04,SKU-009,antiviral,79.2,0.99225897,9.997759,234,57,126.9696,31
DC-01,SKU-013,reefer,79.2,0.9909992,9.961629,189,55,120.28799999999998,30
DC-02,SKU-012,antiviral,79.2,0.9636448,9.980269,360,89,195.43200000000002,48
DC-04,SKU-006,antibiotic,79.0,0.9994671,10.103554,140,37,81.0144,20
DC-04,SKU-005,reefer,79.0,0.99912363,10.098244,172,44,96.1728,24
DC-02,SKU-001,cardiac,78.9,0.9980994,10.121185,183,56,123.048,30
DC-05,SKU-013,reefer,78.9,0.9831508,10.134385,324,102,222.2208,55
DC-01,SKU-015,cardiac,78.8,0.9982331,10.178255,52,14,31.334400000000002,7
DC-05,SKU-002,reefer,78.8,0.9954516,10.186699,15,4,10.7808,2
DC-04,SKU-005,reefer,78.6,0.99786395,10.291169,35,10,23.3856,5
DC-03,SKU-014,antibiotic,78.6,0.99628395,10.267858,361,107,228.97920000000002,57
DC-03,SKU-013,reefer,78.5,0.997928,10.324913,374,106,228.4608,57
DC-05,SKU-006,antibiotic,78.5,0.98948497,10.3338785,279,80,172.3152,43
DC-01,SKU-013,reefer,78.5,0.9771403,10.329514,505,160,341.66880000000003,85
DC-02,SKU-007,antiviral,78.4,0.98685974,10.3745575,280,88,189.9408,47
DC-02,SKU-015,cardiac,78.2,0.9905848,10.457437,265,68,145.44959999999998,36
DC-02,SKU-006,antibiotic,78.1,0.9891873,10.503548,303,85,182.2176,45
DC-04,SKU-002,reefer,78.0,0.9969812,10.550829,165,46,99.5616,24
DC-03,SKU-008,antiviral,77.8,0.9932969,10.658451,507,165,350.7936,87
DC-05,SKU-007,antiviral,77.6,0.99830234,10.733649,148,46,97.39680000000001,24
DC-01,SKU-001,cardiac,77.5,0.9981822,10.779128,292,91,192.08640000000003,48
DC-05,SKU-015,cardiac,77.4,0.9971432,10.839647,48,14,30.739199999999997,7
DC-05,SKU-011,cardiac,77.3,0.99477273,10.879584,120,29,61.38719999999999,15
DC-02,SKU-007,antiviral,77.2,0.99362814,10.965982,304,86,181.1328,45
DC-03,SKU-014,antibiotic,77.2,0.9857519,10.947673,122,29,61.492799999999995,15
DC-02,SKU-006,antibiotic,77.1,0.9957504,11.006868,317,89,187.4832,46
DC-01,SKU-005,reefer,77.1,0.99447846,10.999895,347,112,235.7376,58
DC-05,SKU-014,antibiotic,77.0,0.9936646,11.049312,321,64,134.6736,33
DC-03,SKU-010,reefer,76.9,0.9896578,11.090201,243,70,147.5952,36
DC-03,SKU-012,antiviral,76.8,0.98511326,11.135274,387,129,268.3488,67
DC-02,SKU-001,cardiac,76.8,0.9751094,11.152851,362,120,247.03199999999998,61
DC-05,SKU-008,antiviral,76.6,0.9982315,11.234524,205,64,133.0848,33
DC-05,SKU-008,antiviral,76.6,0.8746703,11.221954,249,82,167.13600000000002,41
DC-01,SKU-006,antibiotic,76.5,0.9928104,11.29813,123,28,59.376000000000005,14
DC-03,SKU-008,antiviral,76.5,0.9917773,11.265979,175,37,76.944,19
DC-01,SKU-012,antiviral,76.4,0.99524045,11.335681,368,85,176.72160000000002,44
DC-05,SKU-001,cardiac,76.4,0.9946181,11.313151,307,92,188.61599999999999,47
DC-03,SKU-008,antiviral,76.4,0.9895481,11.306125,312,92,191.9616,47
DC-01,SKU-015,cardiac,76.2,0.99418783,11.4232855,149,37,77.3904,19
DC-04,SKU-002,reefer,76.1,0.9992606,11.476388,439,139,284.3664,71
DC-03,SKU-006,antibiotic,76.1,0.9967321,11.469237,176,59,121.80000000000001,30
DC-04,SKU-002,reefer,75.9,0.99852425,11.56563,53,16,33.580799999999996,8
DC-05,SKU-004,reefer,75.9,0.9983772,11.553415,67,20,41.486399999999996,10
DC-05,SKU-002,reefer,75.9,0.98134214,11.547302,77,23,47.1888,11
DC-02,SKU-014,antibiotic,75.8,0.996403,11.608653,489,162,330.5664,82
DC-01,SKU-013,reefer,75.8,0.99635327,11.6247015,99,28,58.3296,14
DC-05,SKU-011,cardiac,75.8,0.9917327,11.619243,298,91,184.1904,46
DC-03,SKU-002,reefer,75.3,0.99803287,11.847773,23,8,16.344,4
DC-04,SKU-014,antibiotic,75.3,0.9963832,11.854173,373,123,248.784,62
DC-02,SKU-009,antiviral,75.1,0.9996146,11.945842,172,59,119.38560000000001,29
DC-03,SKU-005,reefer,75.0,0.99832314,12.00653,55,17,35.736000000000004,8
DC-02,SKU-009,antiviral,75.0,0.99259734,11.999992,316,108,217.7376,54
DC-04,SKU-014,antibiotic,75.0,0.99161303,11.978821,335,94,189.5328,47
DC-02,SKU-002,reefer,75.0,0.97828543,11.993574,80,24,48.3552,12
DC-04,SKU-009,antiviral,74.9,0.99834216,12.062253,143,46,92.1312,23
DC-04,SKU-006,antibiotic,74.8,0.9980934,12.10309,119,42,83.136,20
DC-02,SKU-001,cardiac,74.8,0.9977223,12.099394,27,7,15.744,3
DC-02,SKU-006,antibiotic,74.8,0.996825,12.100607,408,143,285.8304,71
DC-03,SKU-011,cardiac,74.8,0.99157786,12.083997,323,97,195.24960000000002,48
DC-04,SKU-012,antiviral,74.7,0.994251,12.133244,445,150,300.552,75
DC-02,SKU-006,antibiotic,74.7,0.99315155,12.134358,470,159,316.296,79
DC-05,SKU-004,reefer,74.6,0.9985991,12.17587,461,154,306.7776,76
DC-01,SKU-003,antiviral,74.5,0.9981207,12.257347,95,30,59.654399999999995,14
DC-04,SKU-004,reefer,74.5,0.99111474,12.254734,24,5,11.7552,2
DC-05,SKU-001,cardiac,74.3,0.998396,12.337302,104,33,65.62559999999999,16
DC-04,SKU-002,reefer,73.9,0.99738497,12.520041,113,30,59.8992,14
DC-05,SKU-005,reefer,73.9,0.9871716,12.550374,269,83,163.32,40
DC-03,SKU-010,reefer,73.5,0.99840146,12.720829,296,98,189.3744,47
DC-01,SKU-001,cardiac,73.5,0.9934163,12.725774,298,91,177.312,44
DC-05,SKU-009,antiviral,73.4,0.9941247,12.784004,395,128,249.6048,62
DC-01,SKU-002,reefer,73.3,0.9921508,12.830466,425,135,262.2384,65
DC-02,SKU-008,antiviral,73.3,0.99135345,12.824592,261,75,145.9152,36
DC-05,SKU-001,cardiac,73.3,0.9803561,12.807858,297,106,207.2544,51
DC-05,SKU-003,antiviral,73.3,0.97725004,12.810538,258,79,153.6336,38
DC-03,SKU-009,antiviral,73.2,0.99554574,12.863395,305,111,214.37759999999997,53
DC-04,SKU-014,antibiotic,73.2,0.99253696,12.886728,362,119,229.7136,57
DC-01,SKU-014,antibiotic,73.2,0.9797263,12.869606,450,158,303.9936,75
DC-03,SKU-008,antiviral,73.1,0.99864715,12.921576,189,70,135.17759999999998,33
DC-01,SKU-013,reefer,73.1,0.9957775,12.9267,284,103,199.8336,49
DC-05,SKU-006,antibiotic,73.1,0.99507374,12.89539,310,106,204.1728,51
DC-02,SKU-007,antiviral,73.1,0.9918637,12.899903,204,55,107.5344,26
DC-04,SKU-013,reefer,73.1,0.99113995,12.922443,469,162,318.7392,79
DC-05,SKU-009,antiviral,73.0,0.99846894,12.949162,83,28,55.09439999999999,13
DC-02,SKU-004,reefer,73.0,0.99796414,12.961875,41,15,29.587199999999996,7
DC-05,SKU-014,antibiotic,72.9,0.99889165,12.9970665,390,128,246.67680000000001,61
DC-03,SKU-004,reefer,72.9,0.9969676,13.027264,441,152,292.44,73
DC-05,SKU-008,antiviral,72.9,0.9885197,12.984744,422,151,290.6496,72
DC-03,SKU-013,reefer,72.9,0.9876222,12.995923,91,31,59.6976,14
DC-05,SKU-013,reefer,72.8,0.9981012,13.033471,67,15,29.4912,7
DC-05,SKU-014,antibiotic,72.8,0.9944667,13.075125,26,9,18.2736,4
DC-04,SKU-009,antiviral,72.7,0.99862075,13.104675,36,11,22.0848,5
DC-01,SKU-015,cardiac,72.7,0.9982652,13.124064,185,63,121.01759999999999,30
DC-04,SKU-004,reefer,72.7,0.9784904,13.081204,333,95,183.1008,45
DC-02,SKU-008,antiviral,72.7,0.97598106,13.089157,263,67,128.496,32
DC-03,SKU-012,antiviral,72.6,0.9978473,13.157801,62,21,41.2896,10
DC-01,SKU-015,cardiac,72.6,0.9580905,13.142058,246,90,172.5264,43
DC-04,SKU-014,antibiotic,72.5,0.99855477,13.17994,195,61,117.3648,29
DC-04,SKU-010,reefer,72.4,0.9965184,13.251729,241,53,101.6544,25
DC-04,SKU-004,reefer,72.4,0.9825851,13.253547,267,91,174.17759999999998,43
DC-02,SKU-009,antiviral,72.4,0.9657485,13.270171,240,86,162.648,40
DC-04,SKU-007,antiviral,72.3,0.99788755,13.317145,240,74,139.23839999999998,34
DC-01,SKU-007,antiviral,72.2,0.9983851,13.367951,183,68,129.2208,32
DC-04,SKU-011,cardiac,72.2,0.9973469,13.340879,345,128,244.176,61
DC-01,SKU-005,reefer,72.2,0.979936,13.347066,335,111,210.92159999999998,52
DC-05,SKU-008,antiviral,72.1,0.9931172,13.41161,148,56,106.31039999999999,26
DC-02,SKU-002,reefer,71.9,0.97560954,13.49061,289,109,206.5584,51
DC-02,SKU-013,reefer,71.8,0.9989644,13.514468,141,45,85.3296,21
DC-05,SKU-001,cardiac,71.5,0.998126,13.69452,427,150,281.2128,70
DC-02,SKU-014,antibiotic,71.5,0.9946308,13.669246,18,5,10.5504,2
DC-04,SKU-010,reefer,71.5,0.98429006,13.677618,270,99,185.72160000000002,46
DC-04,SKU-001,cardiac,71.4,0.9979032,13.715195,288,95,177.93599999999998,44
DC-04,SKU-001,cardiac,71.4,0.99687505,13.729602,57,20,37.723200000000006,9
DC-04,SKU-006,antibiotic,71.4,0.97732985,13.743622,333,128,239.64480000000003,59
DC-04,SKU-011,cardiac,71.2,0.98930883,13.822532,336,125,233.784,58
DC-03,SKU-006,antibiotic,71.0,0.99464744,13.897042,35,13,24.4176,6
DC-04,SKU-008,antiviral,71.0,0.9939552,13.910726,219,80,149.1504,37
DC-05,SKU-015,cardiac,70.8,0.9966917,14.005259,271,98,181.53119999999998,45
DC-01,SKU-014,antibiotic,70.8,0.98400533,14.029931,208,57,106.3344,26
DC-04,SKU-009,antiviral,70.8,0.980072,14.0051565,158,44,82.1664,20
DC-03,SKU-001,cardiac,70.7,0.9988992,14.076869,134,48,88.776,22
DC-05,SKU-011,cardiac,70.7,0.9960788,14.070813,231,90,166.584,41
DC-05,SKU-015,cardiac,70.6,0.99720097,14.121006,229,89,163.88639999999998,40
DC-05,SKU-003,antiviral,70.6,0.99054235,14.135687,270,88,162.8304,40
DC-04,SKU-014,antibiotic,70.5,0.99678975,14.170332,291,94,172.848,43
DC-04,SKU-003,antiviral,70.4,0.992301,14.228018,370,139,255.57599999999996,63
DC-04,SKU-011,cardiac,70.4,0.982544,14.188337,326,119,218.75039999999998,54
DC-03,SKU-007,antiviral,70.3,0.99479973,14.265109,87,33,60.691199999999995,15
DC-01,SKU-006,antibiotic,70.3,0.9723602,14.269528,294,84,153.9504,38
DC-05,SKU-014,antibiotic,69.9,0.99799466,14.434738,146,55,100.5744,25
DC-04,SKU-012,antiviral,69.9,0.9909292,14.462002,238,64,116.78880000000001,29
DC-04,SKU-011,cardiac,69.7,0.9790444,14.554919,223,84,150.9696,37
DC-02,SKU-003,antiviral,69.6,0.99724436,14.607984,408,160,289.87199999999996,72
DC-04,SKU-006,antibiotic,69.6,0.9960104,14.590351,378,149,270.7824,67
DC-05,SKU-009,antiviral,69.6,0.985335,14.58554,335,135,244.416,61
DC-01,SKU-015,cardiac,69.5,0.9960283,14.623146,73,20,36.168,9
DC-05,SKU-005,reefer,69.5,0.99497175,14.616175,278,106,189.29760000000002,47
DC-02,SKU-003,antiviral,69.5,0.9948389,14.630285,323,124,222.86879999999996,55
DC-03,SKU-014,antibiotic,69.5,0.9927509,14.660453,444,172,310.8432,77
DC-05,SKU-008,antiviral,69.5,0.9886297,14.636519,259,105,190.4736,47
DC-02,SKU-007,antiviral,69.5,0.98162526,14.66232,265,101,182.856,45
DC-01,SKU-003,antiviral,69.4,0.9977635,14.681172,459,178,320.0304,80
DC-03,SKU-009,antiviral,69.4,0.99636227,14.670597,286,103,185.2032,46
DC-03,SKU-012,antiviral,69.4,0.9959449,14.69205,134,53,96.96000000000001,24
DC-04,SKU-003,antiviral,69.3,0.9968246,14.721736,153,54,98.472,24
DC-03,SKU-013,reefer,69.2,0.992199,14.781094,99,38,68.832,17
DC-05,SKU-012,antiviral,69.0,0.99377126,14.897346,44,14,25.785600000000002,6
DC-01,SKU-009,antiviral,68.7,0.99789536,15.021529,31,10,19.147199999999998,4
DC-04,SKU-005,reefer,68.6,0.99156606,15.083329,39,11,20.1792,5
DC-03,SKU-011,cardiac,68.4,0.99735034,15.148235,45,14,25.372799999999998,6
DC-01,SKU-005,reefer,68.4,0.9827451,15.189857,191,65,113.7312,28
DC-02,SKU-013,reefer,68.3,0.99194896,15.237617,291,71,125.0112,31
DC-05,SKU-013,reefer,68.3,0.9836993,15.238884,224,93,164.5536,41
DC-02,SKU-008,antiviral,68.3,0.9720749,15.21568,353,105,186.2448,46
DC-05,SKU-005,reefer,68.2,0.9967732,15.273739,315,130,229.44,57
DC-04,SKU-010,reefer,68.2,0.99139297,15.2791815,132,53,93.82079999999999,23
DC-04,SKU-009,antiviral,68.1,0.9952148,15.3249,228,87,153.59040000000002,38
DC-04,SKU-002,reefer,68.1,0.94456476,15.308604,355,119,208.4448,52
DC-02,SKU-014,antibiotic,68.0,0.9951037,15.38284,229,92,162.00480000000002,40
DC-01,SKU-011,cardiac,68.0,0.9938205,15.351727,369,126,221.47199999999998,55
DC-01,SKU-002,reefer,68.0,0.9888707,15.342563,433,163,287.6784,71
DC-01,SKU-009,antiviral,67.9,0.9970667,15.431832,84,35,62.1024,15
DC-01,SKU-013,reefer,67.8,0.99859446,15.467112,43,17,31.008000000000003,7
DC-02,SKU-006,antibiotic,67.8,0.9915524,15.444002,416,161,281.7936,70
